x,probs
0,0.002550042500708345
1,0.012433540559009316
2,0.0325005416756946
3,0.0633177219620327
4,0.09448490808180136
5,0.11428523808730146
6,0.12050200836680611
7,0.11963532725545425
8,0.10688511475191254
9,0.09171819530325505
10,0.07153452557542626
11,0.05435090584843081
12,0.03965066084434741
13,0.027200453340889014
14,0.017833630560509343
15,0.012666877781296356
16,0.007000116668611144
17,0.00470007833463891
18,0.0030833847230787178
19,0.0016666944449074152
20,0.000766679444657411
21,0.0005000083334722246
22,0.0003000050000833347
23,0.00020000333338888982
24,0.00015000250004166735
25,3.3333888898148306e-05
27,3.3333888898148306e-05
28,1.6666944449074153e-05
